metrics,25%,50%,75%,count,max,mean,min,std
underground_metro_perc_birmingham,0.1059840430012995,0.193298969072165,0.33938786700371953,135.0,2.53093363329584,0.2995455459222541,0.0,0.3922058813196943
underground_metro_perc_blackpool,0.0288708237097254,0.0394011032308905,0.1088734531316675,19.0,0.187115744453355,0.06471076813425167,0.0,0.055815602013860335
underground_metro_perc_liverpool,0.1840178816345145,0.35962177875814505,0.571616913080328,72.0,2.3357289527720697,0.48671890090439224,0.0,0.4736956032415521
underground_metro_perc_london,9.21319745721258,20.763518722322353,31.377202909196825,978.0,55.726092089728496,21.245425738577868,0.7740324594257181,13.416000013728869
underground_metro_perc_rural,0.0677621606724542,0.12142677225338401,0.2022774449610775,1326.0,21.120984278879,0.23296345491456388,0.0,0.8027768580248167
underground_metro_perc_urban,0.06801566129704165,0.16970070965751302,0.9865713578336255,5875.0,55.726092089728496,4.074324226785775,0.0,9.624895521298365
work_from_home_perc_all,7.034728406055209,8.896121508001091,12.367384055774501,7201.0,37.591727818545706,10.381327033961398,2.82655246252677,4.826474381749274
work_from_home_perc_birmingham,6.29182455620397,7.16240875912409,8.01916477238124,135.0,14.602392681210402,7.299399557428264,3.8315789473684196,1.5631772953649166
work_from_home_perc_blackpool,6.838724368751061,7.883165829145731,9.518021071911145,19.0,29.0386130811663,10.491479025454906,5.59782608695652,6.699507807018965
work_from_home_perc_liverpool,4.880886821312675,5.704103226923225,6.8414356268218794,72.0,12.4290732234531,6.121872301549846,3.34065934065934,1.775424285254399
work_from_home_perc_london,7.417837686838492,8.71855657405931,10.80172216967285,978.0,28.1602578862537,9.579841869640386,4.95975071410023,3.0653060807287087
work_from_home_perc_rural,12.849733878819325,16.177106985906846,20.2390353113724,1326.0,36.4678899082569,16.822907635679645,4.88445378151261,5.682862947379617
work_from_home_perc_urban,6.73999153786455,8.206599713055951,10.306139211418849,5875.0,37.591727818545706,8.92744858666295,2.82655246252677,3.1285266110094962
