origin_msoacode,avg_time_from_origin_bus_UNWEIGHTED,"Bus, minibus or coach",cumulative_time_bus,avg_time_bus
E02000489,354.9119113,348,8682.939114,24.95097447
E02000490,350.1945698,303,7701.588229,25.41778294
E02000491,348.3854507,375,11106.78809,29.61810157
E02000492,353.3429461,156,4910.728053,31.47902598
E02000493,346.466577,241,6480.964926,26.89197065
E02000494,307.0042312,118,4590.29194,38.90077915
E02000495,305.8882428,228,5858.103635,25.69343699
E02000496,295.6944893,183,4312.245715,23.56418423
E02000497,299.6090247,145,3498.690601,24.12890069
E02000498,297.85137,95,2588.070092,27.24284307
E02000499,302.2511672,101,3361.404939,33.28123702
E02000500,294.4542733,93,2453.103308,26.37745493
E02000501,301.928985,105,3527.041605,33.59087243
E02000502,290.23232,127,3775.545211,29.72870245
E02000503,299.54836,139,4406.313945,31.70010032
E02000504,288.7596325,99,2673.92831,27.00937687
E02000506,280.2481488,141,3312.59351,23.49357099
E02000507,283.9405036,321,8652.580985,26.95508095
E02000508,286.2150121,393,12113.91026,30.82419913
E02000509,288.6520184,485,14540.30319,29.98000657
E02000510,288.7685991,439,10210.00018,23.25740359
E02000511,290.2022792,598,18317.41493,30.63112865
E02000512,289.7046782,534,13230.95958,24.77707787
E02000513,300.7713347,666,22827.80278,34.27598015
E02000514,292.4782399,813,25742.42312,31.66349707
E02000515,297.3373441,611,17017.39235,27.85170597
E02000516,299.6843741,559,20704.15557,37.03784538
E02000517,290.2131782,683,19421.53886,28.43563523
E02000518,289.4525094,494,10652.69868,21.56416737
E02000519,294.4400544,743,21478.42886,28.90771045
E02000520,297.2518677,959,29531.96977,30.79454616
E02000521,298.645901,666,18079.1555,27.14587913
E02000522,298.731992,545,15345.48382,28.15685105
E02000523,296.9188061,813,24149.08224,29.70366819
E02000524,295.6715175,801,22940.86405,28.64027971
E02000525,293.1139403,1292,33511.43629,25.93764419
E02000526,297.4828324,380,9095.357901,23.93515237
E02000528,305.783059,796,19836.62871,24.92038783
E02000529,302.8198874,614,18101.57527,29.48139294
E02000530,300.0289776,555,16596.21172,29.90308418
E02000531,306.9789743,690,16655.92114,24.13901614
E02000532,301.6150642,373,9254.634239,24.81135185
E02000533,304.0228129,300,8307.446309,27.6914877
E02000534,305.4538687,360,10912.31809,30.3119947
E02000535,301.6529218,735,22024.39042,29.96515703
E02000536,300.5875874,618,17885.60047,28.94110108
E02000537,304.7497125,595,20092.06204,33.7681715
E02000538,296.8000291,962,30868.90322,32.08825699
E02000539,305.2339164,774,21822.22619,28.19409069
E02000540,301.6922421,761,21143.16584,27.78339795
E02000541,303.8557189,924,29200.32532,31.60208368
E02000542,300.5218175,949,27816.88518,29.31178628
E02000543,301.3610494,1056,35161.87899,33.29723389
E02000544,307.3935029,415,14431.53757,34.77478932
E02000545,310.8500938,519,15462.1933,29.79227997
E02000546,304.4424902,889,31705.91088,35.66469166
E02000547,296.9635105,771,20509.6325,26.60133917
E02000548,302.4931914,662,17496.68239,26.43003382
E02000549,302.8671267,898,25950.88258,28.89853294
E02000550,302.3782149,790,22525.51637,28.51331186
E02000551,308.6861308,749,21341.93783,28.49390898
E02000552,304.445599,500,14812.43835,29.6248767
E02000553,310.1438492,411,11242.77084,27.35467358
E02000554,312.2985852,822,23177.27383,28.19619687
E02000555,311.444875,846,23788.9465,28.1193221
E02000556,308.4758633,836,21430.85546,25.63499457
E02000557,310.6058184,804,21378.64525,26.59035478
E02000558,306.2960357,716,16259.61513,22.70895967
E02000559,306.727868,605,13846.45312,22.88669937
E02000560,305.0372947,924,22410.50197,24.25379001
E02000561,305.9517787,574,14257.45038,24.83876373
E02000562,311.7173821,828,19917.42217,24.05485769
E02000563,305.9892369,970,23024.15472,23.73624198
E02000564,304.7817837,856,17662.30281,20.63353132
